año,provincia,provincia_id,tenencia_tierra,EAP_con_limites_toda_superficie,hectareas
2002,Neuquén,58,Contrato accidental,11,32773.1
2002,Neuquén,58,Ocupación con permiso,494,67648.9
2002,Neuquén,58,Ocupación de hecho,33,3423.1
2002,Neuquén,58,Otros,30,3508.8
2002,Neuquén,58,Propiedad,1456,1906542.3
2002,Neuquén,58,Sin discriminar tenencia,8,23935.2
2002,Río Negro,62,Aparcería,44,67310.7
2002,Río Negro,62,Arrendamiento,305,712760.8
2002,Río Negro,62,Contrato accidental,53,36366.3
2002,Río Negro,62,Ocupación con permiso,618,1332409.8
2002,Río Negro,62,Ocupación de hecho,94,414330.3
2002,Río Negro,62,Otros,35,17606.1
2002,Río Negro,62,Propiedad,5267,10209673.3
2002,Río Negro,62,Sin discriminar tenencia,96,71635.2
2002,Salta,66,Aparcería,78,11370.2
2002,Salta,66,Arrendamiento,683,119288.9
2002,Salta,66,Contrato accidental,238,44548.6
2002,Salta,66,Ocupación con permiso,268,45550.6
2002,Salta,66,Ocupación de hecho,649,40474.9
2002,Salta,66,Otros,80,32279.6
2002,Salta,66,Propiedad,3192,3565188.7
2002,Salta,66,Sin discriminar tenencia,s,5
2002,San Juan,70,Aparcería,103,2371.7
2002,San Juan,70,Arrendamiento,139,10376.3
2002,San Juan,70,Contrato accidental,154,1517.2
2002,San Juan,70,Ocupación con permiso,120,48660.2
2002,San Juan,70,Ocupación de hecho,11,4822.5
2002,San Juan,70,Otros,16,501.6
2002,San Juan,70,Propiedad,5321,524777
2002,San Juan,70,Sin discriminar tenencia,1641,132850.3
2002,San Luis,74,Aparcería,2,692
2002,San Luis,74,Arrendamiento,173,237309
2002,San Luis,74,Contrato accidental,s,4783
2002,San Luis,74,Ocupación con permiso,95,42542
2002,San Luis,74,Ocupación de hecho,22,24257.5
2002,San Luis,74,Otros,6,11034
2002,San Luis,74,Propiedad,3596,4537332.9
2002,San Luis,74,Sin discriminar tenencia,4,15800
2002,Santa Cruz,78,Aparcería,4,19648
2002,Santa Cruz,78,Arrendamiento,35,633327.5
2002,Santa Cruz,78,Contrato accidental,s,80000
2002,Santa Cruz,78,Ocupación con permiso,16,197305
