año,provincia,provincia_id,tenencia_tierra,hectareas
2002,Neuquén,58,Propiedad,1851335.2
2002,Neuquén,58,En sucesión indivisa,99404.9
2002,Neuquén,58,Arrendamiento,43472.8
2002,Neuquén,58,Aparcería,55
2002,Neuquén,58,Contrato accidental,32786.1
2002,Neuquén,58,Ocupación con permiso,75928.8
2002,Neuquén,58,Ocupación de hecho,5750.8
2002,Neuquén,58,Otros,12997.9
2002,Neuquén,58,Sin discriminar,23968.2
2002,Río Negro,62,Propiedad,10177390.4
2002,Río Negro,62,En sucesión indivisa,1076004.8
2002,Río Negro,62,Arrendamiento,1260209.2
2002,Río Negro,62,Aparcería,77195.4
2002,Río Negro,62,Contrato accidental,37333.8
2002,Río Negro,62,Ocupación con permiso,1537419.5
2002,Río Negro,62,Ocupación de hecho,452978.1
2002,Río Negro,62,Otros,23639.5
2002,Río Negro,62,Sin discriminar,74299
2002,Salta,66,Propiedad,3425897.4
2002,Salta,66,En sucesión indivisa,434317.2
2002,Salta,66,Arrendamiento,176603.9
2002,Salta,66,Aparcería,20527.3
2002,Salta,66,Contrato accidental,73580.4
2002,Salta,66,Ocupación con permiso,49254.4
2002,Salta,66,Ocupación de hecho,43098.1
2002,Salta,66,Otros,46009.1
2002,Salta,66,Sin discriminar,211.4
2002,San Juan,70,Propiedad,454993.9
2002,San Juan,70,En sucesión indivisa,90139.9
2002,San Juan,70,Arrendamiento,16390.3
2002,San Juan,70,Aparcería,4027.7
2002,San Juan,70,Contrato accidental,2806.6
2002,San Juan,70,Ocupación con permiso,49452.8
2002,San Juan,70,Ocupación de hecho,4855
2002,San Juan,70,Otros,587.6
2002,San Juan,70,Sin discriminar,132970.8
2002,San Luis,74,Propiedad,4286026.7
2002,San Luis,74,En sucesión indivisa,554252.4
2002,San Luis,74,Arrendamiento,419314.5
2002,San Luis,74,Aparcería,4310.5
2002,San Luis,74,Contrato accidental,7812
2002,San Luis,74,Ocupación con permiso,56270
2002,San Luis,74,Ocupación de hecho,30652.5
2002,San Luis,74,Otros,13880
2002,San Luis,74,Sin discriminar,15869
2002,Santa Cruz,78,Propiedad,16415217.7
2002,Santa Cruz,78,En sucesión indivisa,1725511
2002,Santa Cruz,78,Arrendamiento,977511.5
2002,Santa Cruz,78,Aparcería,49648
2002,Santa Cruz,78,Contrato accidental,80000
2002,Santa Cruz,78,Ocupación con permiso,306650
2002,Santa Cruz,78,Ocupación de hecho,3750
2002,Santa Cruz,78,Otros,20512
2002,Santa Cruz,78,Sin discriminar,305410
2002,Santa Fe,82,Propiedad,7461235.2
2002,Santa Fe,82,En sucesión indivisa,385055.8
2002,Santa Fe,82,Arrendamiento,2257455.1
2002,Santa Fe,82,Aparcería,177437
2002,Santa Fe,82,Contrato accidental,650249.1
2002,Santa Fe,82,Ocupación con permiso,162604.1
2002,Santa Fe,82,Ocupación de hecho,74194
2002,Santa Fe,82,Otros,45824
2002,Santa Fe,82,Sin discriminar,37598.9
2002,Santiago del Estero,86,Propiedad,3729118.8
2002,Santiago del Estero,86,En sucesión indivisa,295905.3
2002,Santiago del Estero,86,Arrendamiento,290721
2002,Santiago del Estero,86,Aparcería,7610
2002,Santiago del Estero,86,Contrato accidental,53815
2002,Santiago del Estero,86,Ocupación con permiso,347609.2
2002,Santiago del Estero,86,Ocupación de hecho,87117.4
2002,Santiago del Estero,86,Otros,21020
2002,Santiago del Estero,86,Sin discriminar,560716.6
2002,Tierra del Fuego,94,Propiedad,966112.7
2002,Tierra del Fuego,94,En sucesión indivisa,74081
2002,Tierra del Fuego,94,Arrendamiento,34650
2002,Tierra del Fuego,94,Aparcería,0
2002,Tierra del Fuego,94,Contrato accidental,0
2002,Tierra del Fuego,94,Ocupación con permiso,64586.8
2002,Tierra del Fuego,94,Ocupación de hecho,22504.7
2002,Tierra del Fuego,94,Otros,9811.9
2002,Tierra del Fuego,94,Sin discriminar,0
2002,Tucumán,90,Propiedad,853748.1
2002,Tucumán,90,En sucesión indivisa,125449.6
2002,Tucumán,90,Arrendamiento,106147.5
2002,Tucumán,90,Aparcería,14005.2
2002,Tucumán,90,Contrato accidental,12104.1
2002,Tucumán,90,Ocupación con permiso,15831.8
2002,Tucumán,90,Ocupación de hecho,1339
2002,Tucumán,90,Otros,4096.1
2002,Tucumán,90,Sin discriminar,4395.8
