año,provincia,provincia_id,tenencia_tierra,EAP_sin_limites
2002,Santa Fe,82,Aparcería,0
2002,Santa Fe,82,Ocupación con permiso,30
2002,Santa Fe,82,Ocupación de hecho,12
2002,Santa Fe,82,Derechoso,0
2002,Santa Fe,82,Integrante,0
2002,Santa Fe,82,Sin discriminar,3
2002,Santiago del Estero,86,Arrendamiento,36
2002,Santiago del Estero,86,Aparcería,1
2002,Santiago del Estero,86,Ocupación con permiso,3308
2002,Santiago del Estero,86,Ocupación de hecho,6064
2002,Santiago del Estero,86,Derechoso,424
2002,Santiago del Estero,86,Integrante,0
2002,Santiago del Estero,86,Sin discriminar,286
2002,Tierra del Fuego,94,Arrendamiento,0
2002,Tierra del Fuego,94,Aparcería,0
2002,Tierra del Fuego,94,Ocupación con permiso,0
2002,Tierra del Fuego,94,Ocupación de hecho,0
2002,Tierra del Fuego,94,Derechoso,0
2002,Tierra del Fuego,94,Integrante,0
2002,Tierra del Fuego,94,Sin discriminar,0
2002,Tucumán,90,Arrendamiento,59
2002,Tucumán,90,Aparcería,3
2002,Tucumán,90,Ocupación con permiso,68
2002,Tucumán,90,Ocupación de hecho,149
2002,Tucumán,90,Derechoso,3
2002,Tucumán,90,Integrante,37
2002,Tucumán,90,Sin discriminar,16
