año,provincia,provincia_id,tipo_juridico,EAP_sin_limites
2002,La Rioja,46,Cooperativas,0
2002,Mendoza,50,Cooperativas,0
2002,Misiones,54,Cooperativas,0
2002,Neuquén,58,Cooperativas,1
2002,Río Negro,62,Cooperativas,1
2002,Salta,66,Cooperativas,0
2002,San Juan,70,Cooperativas,0
2002,San Luis,74,Cooperativas,0
2002,Santa Cruz,78,Cooperativas,0
2002,Santa Fe,82,Cooperativas,0
2002,Santiago del Estero,86,Cooperativas,3
2002,Tierra del Fuego,94,Cooperativas,0
2002,Tucumán,90,Cooperativas,0
2002,Buenos Aires,06,Instituciones privadas sin fines de lucro,0
2002,Catamarca,10,Instituciones privadas sin fines de lucro,0
2002,Chaco,22,Instituciones privadas sin fines de lucro,0
2002,Chubut,26,Instituciones privadas sin fines de lucro,0
2002,Córdoba,14,Instituciones privadas sin fines de lucro,0
2002,Corrientes,18,Instituciones privadas sin fines de lucro,0
2002,Entre Ríos,30,Instituciones privadas sin fines de lucro,0
2002,Formosa,34,Instituciones privadas sin fines de lucro,0
2002,Jujuy,38,Instituciones privadas sin fines de lucro,0
2002,La Pampa,42,Instituciones privadas sin fines de lucro,0
2002,La Rioja,46,Instituciones privadas sin fines de lucro,0
2002,Mendoza,50,Instituciones privadas sin fines de lucro,0
2002,Misiones,54,Instituciones privadas sin fines de lucro,0
2002,Neuquén,58,Instituciones privadas sin fines de lucro,0
2002,Río Negro,62,Instituciones privadas sin fines de lucro,1
2002,Salta,66,Instituciones privadas sin fines de lucro,0
2002,San Juan,70,Instituciones privadas sin fines de lucro,0
2002,San Luis,74,Instituciones privadas sin fines de lucro,0
2002,Santa Cruz,78,Instituciones privadas sin fines de lucro,0
2002,Santa Fe,82,Instituciones privadas sin fines de lucro,0
2002,Santiago del Estero,86,Instituciones privadas sin fines de lucro,0
2002,Tierra del Fuego,94,Instituciones privadas sin fines de lucro,0
2002,Tucumán,90,Instituciones privadas sin fines de lucro,1
2002,Buenos Aires,06,Entidades públicas,0
2002,Catamarca,10,Entidades públicas,0
2002,Chaco,22,Entidades públicas,0
2002,Chubut,26,Entidades públicas,0
2002,Córdoba,14,Entidades públicas,0
2002,Corrientes,18,Entidades públicas,0
2002,Entre Ríos,30,Entidades públicas,0
2002,Formosa,34,Entidades públicas,9
2002,Jujuy,38,Entidades públicas,0
2002,La Pampa,42,Entidades públicas,0
2002,La Rioja,46,Entidades públicas,0
2002,Mendoza,50,Entidades públicas,0
2002,Misiones,54,Entidades públicas,1
2002,Neuquén,58,Entidades públicas,2
2002,Río Negro,62,Entidades públicas,0
