año,provincia,provincia_id,tipo_juridico,EAP_con_limites,hectareas
2002,Neuquén,58,Sociedades anónimas y en comandita por acciones,106,1053341
2002,Río Negro,62,Sociedades anónimas y en comandita por acciones,243,1071693.6
2002,Salta,66,Sociedades anónimas y en comandita por acciones,175,1479697
2002,San Juan,70,Sociedades anónimas y en comandita por acciones,406,175413.1
2002,San Luis,74,Sociedades anónimas y en comandita por acciones,164,1435445.7
2002,Santa Cruz,78,Sociedades anónimas y en comandita por acciones,64,3279635.3
2002,Santa Fe,82,Sociedades anónimas y en comandita por acciones,784,1875540.8
2002,Santiago del Estero,86,Sociedades anónimas y en comandita por acciones,157,926569.2
2002,Tierra del Fuego,94,Sociedades anónimas y en comandita por acciones,19,635802.9
2002,Tucumán,90,Sociedades anónimas y en comandita por acciones,105,301451
2002,Buenos Aires,06,Cooperativas,36,17524.2
2002,Catamarca,10,Cooperativas,0,0
2002,Chaco,22,Cooperativas,6,921
2002,Chubut,26,Cooperativas,0,0
2002,Córdoba,14,Cooperativas,20,5907.8
2002,Corrientes,18,Cooperativas,3,888.7
2002,Entre Ríos,30,Cooperativas,13,6331
2002,Formosa,34,Cooperativas,2,s
2002,Jujuy,38,Cooperativas,5,3101.5
2002,La Pampa,42,Cooperativas,6,5699
2002,La Rioja,46,Cooperativas,5,494.8
2002,Mendoza,50,Cooperativas,28,1203.8
2002,Misiones,54,Cooperativas,9,704
2002,Neuquén,58,Cooperativas,2,s
2002,Río Negro,62,Cooperativas,1,s
2002,Salta,66,Cooperativas,3,244.6
2002,San Juan,70,Cooperativas,28,531.4
2002,San Luis,74,Cooperativas,0,0
2002,Santa Cruz,78,Cooperativas,3,30500
2002,Santa Fe,82,Cooperativas,44,13740.9
2002,Santiago del Estero,86,Cooperativas,14,11983.5
2002,Tierra del Fuego,94,Cooperativas,0,0
2002,Tucumán,90,Cooperativas,12,6809.5
2002,Buenos Aires,06,Instituciones privadas sin fines de lucro,62,60975.5
2002,Catamarca,10,Instituciones privadas sin fines de lucro,6,3265
2002,Chaco,22,Instituciones privadas sin fines de lucro,9,2660
2002,Chubut,26,Instituciones privadas sin fines de lucro,3,6745
2002,Córdoba,14,Instituciones privadas sin fines de lucro,28,24433.8
2002,Corrientes,18,Instituciones privadas sin fines de lucro,8,4161.2
2002,Entre Ríos,30,Instituciones privadas sin fines de lucro,9,21333.2
2002,Formosa,34,Instituciones privadas sin fines de lucro,13,64464
2002,Jujuy,38,Instituciones privadas sin fines de lucro,3,133.6
2002,La Pampa,42,Instituciones privadas sin fines de lucro,5,7810
2002,La Rioja,46,Instituciones privadas sin fines de lucro,5,71.6
2002,Mendoza,50,Instituciones privadas sin fines de lucro,21,1249.3
2002,Misiones,54,Instituciones privadas sin fines de lucro,6,9020.5
2002,Neuquén,58,Instituciones privadas sin fines de lucro,5,2540.4
2002,Río Negro,62,Instituciones privadas sin fines de lucro,5,s
2002,Salta,66,Instituciones privadas sin fines de lucro,2,s
2002,San Juan,70,Instituciones privadas sin fines de lucro,8,50.2
2002,San Luis,74,Instituciones privadas sin fines de lucro,1,s
2002,Santa Cruz,78,Instituciones privadas sin fines de lucro,0,0
2002,Santa Fe,82,Instituciones privadas sin fines de lucro,17,9733.6
2002,Santiago del Estero,86,Instituciones privadas sin fines de lucro,9,15487
2002,Tierra del Fuego,94,Instituciones privadas sin fines de lucro,1,0
2002,Tucumán,90,Instituciones privadas sin fines de lucro,3,5544
2002,Buenos Aires,06,Entidades públicas,75,68829.9
2002,Catamarca,10,Entidades públicas,13,349.7
2002,Chaco,22,Entidades públicas,17,7106
2002,Chubut,26,Entidades públicas,21,25958.5
2002,Córdoba,14,Entidades públicas,26,9842.3
2002,Corrientes,18,Entidades públicas,19,58825.9
2002,Entre Ríos,30,Entidades públicas,30,10296.7
2002,Formosa,34,Entidades públicas,10,3455
2002,Jujuy,38,Entidades públicas,26,17813.8
2002,La Pampa,42,Entidades públicas,11,7821.7
2002,La Rioja,46,Entidades públicas,21,1479
2002,Mendoza,50,Entidades públicas,46,124411.1
2002,Misiones,54,Entidades públicas,20,20424.7
2002,Neuquén,58,Entidades públicas,21,4281.9
2002,Río Negro,62,Entidades públicas,21,12978.7
2002,Salta,66,Entidades públicas,12,14637.4
2002,San Juan,70,Entidades públicas,22,766.2
2002,San Luis,74,Entidades públicas,7,s
2002,Santa Cruz,78,Entidades públicas,2,s
2002,Santa Fe,82,Entidades públicas,21,4616
2002,Santiago del Estero,86,Entidades públicas,16,1194
2002,Tierra del Fuego,94,Entidades públicas,0,0
2002,Tucumán,90,Entidades públicas,11,10757.6
2002,Buenos Aires,06,Otros sin discriminar,211,271153.2
2002,Catamarca,10,Otros sin discriminar,4,889.2
2002,Chaco,22,Otros sin discriminar,12,11204
2002,Chubut,26,Otros sin discriminar,5,55578
2002,Córdoba,14,Otros sin discriminar,54,68589.5
2002,Corrientes,18,Otros sin discriminar,33,140025.1
2002,Entre Ríos,30,Otros sin discriminar,32,24466.3
2002,Formosa,34,Otros sin discriminar,10,s
2002,Jujuy,38,Otros sin discriminar,5,1531.5
2002,La Pampa,42,Otros sin discriminar,27,171660.5
2002,La Rioja,46,Otros sin discriminar,8,21574.4
2002,Mendoza,50,Otros sin discriminar,26,745.7
2002,Misiones,54,Otros sin discriminar,12,1793.3
2002,Neuquén,58,Otros sin discriminar,4,7560.4
2002,Río Negro,62,Otros sin discriminar,41,48723.7
2002,Salta,66,Otros sin discriminar,26,38906.6
2002,San Juan,70,Otros sin discriminar,225,7073.6
2002,San Luis,74,Otros sin discriminar,1,s
2002,Santa Cruz,78,Otros sin discriminar,7,98946
2002,Santa Fe,82,Otros sin discriminar,52,74430.9
2002,Santiago del Estero,86,Otros sin discriminar,34,85291.1
2002,Tierra del Fuego,94,Otros sin discriminar,0,0
2002,Tucumán,90,Otros sin discriminar,32,3507.2
