año,provincia,provincia_id,tenencia_tierra,EAP_con_limites_parte_superficie,hectareas
2002,Mendoza,50,Contrato accidental,89,25302.4
2002,Mendoza,50,Ocupación con permiso,224,52748.3
2002,Mendoza,50,Ocupación de hecho,50,5711.1
2002,Mendoza,50,Otras combinaciones,25,11837.7
2002,Mendoza,50,Otras combinaciones sin tierra en propiedad,27,1478.4
2002,Mendoza,50,Otros,12,45787.8
2002,Mendoza,50,Sin discriminar tenencia,78,72692.3
2002,Misiones,54,Aparcería,4,179
2002,Misiones,54,Arrendamiento,95,20321.9
2002,Misiones,54,Contrato accidental,21,962
2002,Misiones,54,Ocupación con permiso,605,44899.9
2002,Misiones,54,Ocupación de hecho,69,4319.2
2002,Misiones,54,Otras combinaciones,17,3827.4
2002,Misiones,54,Otras combinaciones sin tierra en propiedad,82,3313.4
2002,Misiones,54,Otros,26,2778
2002,Misiones,54,Sin discriminar tenencia,95,44494
2002,Neuquén,58,Aparcería,0,0
2002,Neuquén,58,Arrendamiento,37,60827.3
2002,Neuquén,58,Contrato accidental,3,69
2002,Neuquén,58,Ocupación con permiso,43,14698.7
2002,Neuquén,58,Ocupación de hecho,9,4138.8
2002,Neuquén,58,Otras combinaciones,3,2125
2002,Neuquén,58,Otras combinaciones sin tierra en propiedad,8,1124
2002,Neuquén,58,Otros,5,15711.5
2002,Neuquén,58,Sin discriminar tenencia,3,422.7
2002,Río Negro,62,Aparcería,8,29917.5
2002,Río Negro,62,Arrendamiento,281,1180149.2
2002,Río Negro,62,Contrato accidental,28,16947.8
2002,Río Negro,62,Ocupación con permiso,124,474859.4
2002,Río Negro,62,Ocupación de hecho,19,79060.3
2002,Río Negro,62,Otras combinaciones,16,26025.4
2002,Río Negro,62,Otras combinaciones sin tierra en propiedad,18,24695
2002,Río Negro,62,Otros,9,9425.8
2002,Río Negro,62,Sin discriminar tenencia,20,13296.8
2002,Salta,66,Aparcería,8,30508.6
2002,Salta,66,Arrendamiento,199,174762.7
2002,Salta,66,Contrato accidental,90,157092.7
2002,Salta,66,Ocupación con permiso,17,4528.2
2002,Salta,66,Ocupación de hecho,s,5662.5
2002,Salta,66,Otras combinaciones,17,18283.4
2002,Salta,66,Otras combinaciones sin tierra en propiedad,39,6788.2
2002,Salta,66,Otros,7,13163.9
2002,Salta,66,Sin discriminar tenencia,s,2.5
2002,San Juan,70,Aparcería,79,2545.1
2002,San Juan,70,Arrendamiento,124,17515.3
2002,San Juan,70,Contrato accidental,94,5985.1
2002,San Juan,70,Ocupación con permiso,57,1310.7
2002,San Juan,70,Ocupación de hecho,4,53
2002,San Juan,70,Otras combinaciones,16,607.2
2002,San Juan,70,Otras combinaciones sin tierra en propiedad,23,723.8
2002,San Juan,70,Otros,6,273.5
2002,San Juan,70,Sin discriminar tenencia,19,1334.1
2002,San Luis,74,Aparcería,s,3419.5
2002,San Luis,74,Arrendamiento,181,419351.5
2002,San Luis,74,Contrato accidental,12,13069.5
2002,San Luis,74,Ocupación con permiso,74,36358.2
2002,San Luis,74,Ocupación de hecho,14,19621
2002,San Luis,74,Otras combinaciones,8,12687.5
2002,San Luis,74,Otras combinaciones sin tierra en propiedad,9,7082
2002,San Luis,74,Otros,3,1523
2002,San Luis,74,Sin discriminar tenencia,s,1525
2002,Santa Cruz,78,Aparcería,s,41300
2002,Santa Cruz,78,Arrendamiento,23,1265412
2002,Santa Cruz,78,Contrato accidental,0,0
2002,Santa Cruz,78,Ocupación con permiso,s,213963
2002,Santa Cruz,78,Ocupación de hecho,s,16250
2002,Santa Cruz,78,Otras combinaciones,0,0
2002,Santa Cruz,78,Otras combinaciones sin tierra en propiedad,0,0
2002,Santa Cruz,78,Otros,0,0
2002,Santa Cruz,78,Sin discriminar tenencia,s,19700
2002,Santa Fe,82,Aparcería,344,109637.9
2002,Santa Fe,82,Arrendamiento,5788,3028228.7
2002,Santa Fe,82,Contrato accidental,2105,637008.9
2002,Santa Fe,82,Ocupación con permiso,211,113719.6
2002,Santa Fe,82,Ocupación de hecho,31,21403
2002,Santa Fe,82,Otras combinaciones,751,485970.1
2002,Santa Fe,82,Otras combinaciones sin tierra en propiedad,276,106402.5
2002,Santa Fe,82,Otros,41,19282.5
2002,Santa Fe,82,Sin discriminar tenencia,79,19495
2002,Santiago del Estero,86,Aparcería,16,3662.5
2002,Santiago del Estero,86,Arrendamiento,218,200022
2002,Santiago del Estero,86,Contrato accidental,35,36793.9
2002,Santiago del Estero,86,Ocupación con permiso,113,17367.7
2002,Santiago del Estero,86,Ocupación de hecho,74,15300.1
2002,Santiago del Estero,86,Otras combinaciones,22,8256.5
2002,Santiago del Estero,86,Otras combinaciones sin tierra en propiedad,42,29078.1
2002,Santiago del Estero,86,Otros,15,1713.9
2002,Santiago del Estero,86,Sin discriminar tenencia,26,20814.8
2002,Tierra del Fuego,94,Aparcería,0,0
2002,Tierra del Fuego,94,Arrendamiento,0,0
2002,Tierra del Fuego,94,Contrato accidental,0,0
2002,Tierra del Fuego,94,Ocupación con permiso,s,13089
2002,Tierra del Fuego,94,Ocupación de hecho,0,0
2002,Tierra del Fuego,94,Otras combinaciones,s,10623
2002,Tierra del Fuego,94,Otras combinaciones sin tierra en propiedad,0,0
2002,Tierra del Fuego,94,Otros,0,0
2002,Tierra del Fuego,94,Sin discriminar tenencia,0,0
2002,Tucumán,90,Aparcería,111,31428.2
2002,Tucumán,90,Arrendamiento,541,194595.5
2002,Tucumán,90,Contrato accidental,198,35504
2002,Tucumán,90,Ocupación con permiso,154,18626.7
2002,Tucumán,90,Ocupación de hecho,34,544.6
2002,Tucumán,90,Otras combinaciones,54,6843.8
2002,Tucumán,90,Otras combinaciones sin tierra en propiedad,33,1590
2002,Tucumán,90,Otros,14,1364
2002,Tucumán,90,Sin discriminar tenencia,50,7976.9
